,Address,Longitude,Latitude,Rent,URL,Type
132,"105 Ward Pky, Kansas City, MO 64112",-94.5887348712244,39.0396106,"$1,100",https://www.apartments.com/lucas-place-lofts-kansas-city-mo/kw15s0b/,apartment
133,"1300 NE Parvin Rd, Kansas City, MO 64116",-94.56525877550499,39.17001985959784,"$885 - 1,200",https://www.apartments.com/the-reserve-at-barry-apartments-kansas-city-mo/j5glr17/,apartment
134,"1700 Madison Ave, Kansas City, MO 64108",-94.594664,39.092946,"$2,195",https://www.apartments.com/falcon-point-apartments-kansas-city-mo/93ekpw6/,apartment
135,"510 E 101st St, Kansas City, MO 64131",-94.58422745093242,38.943978729423165,"$965 - 1,015",https://www.apartments.com/the-haven-at-shoal-creek-kansas-city-mo/sd888k4/,apartment
136,"8300 N Skiles Ave, Kansas City, MO 64158",-94.4807254,39.2432595,"$1,037 - 1,608",https://www.apartments.com/flats-at-warwick-kansas-city-mo/sqf9vl6/,apartment
137,"480 NE Windrose Dr, Kansas City, MO 64155",-94.57405260480236,39.25983339113789,$939,https://www.apartments.com/cordillera-ranch-apartments-kansas-city-mo/7mt1chx/,apartment
138,"4104 Warwick Blvd, Kansas City, MO 64111",-94.58446967362835,39.051359399999996,$925 - 995,https://www.apartments.com/rm-west-kansas-city-mo/278jk79/,apartment
139,"111 NW 94th St, Kansas City, MO 64155",-94.58069238775511,39.26350520408163,"$1,040 - 1,090",https://www.apartments.com/cambridge-commons-kansas-city-mo/xrcffcq/,apartment
140,"8261 N Tullis Ave, Kansas City, MO 64158",-94.48504836007604,39.24052731743505,"$1,114 - 1,620",https://www.apartments.com/founders-at-union-hill-kansas-city-mo/s5pdf67/,apartment
141,"Antioch Rd, Kansas City, MO 64119",-94.5486005,39.1949511,"$1,131",https://www.apartments.com/the-community-apartments-senior-living-55-kansas-city-mo/6bqtmgr/,apartment
142,"829 NW 79th Ter, Kansas City, MO 64118",-94.59084507642721,39.2380903214381,"$1,101",https://www.apartments.com/nori-kansas-city-mo/l2r8jlf/,apartment
143,"228 W 4th St, Kansas City, MO 64105",-94.58746437023092,39.10873685,"$1,311 - 2,328",https://www.apartments.com/cloverset-valley-kansas-city-mo/v0s93sg/,apartment
144,"8504 N Cosby Ave, Kansas City, MO 64154",-94.6431638,39.2577971,"$1,079 - 1,337",https://www.apartments.com/connect55-kansas-city-senior-community-55-kansas-city-mo/fd7m29r/,apartment
145,"4410 Jarboe St, Kansas City, MO 64111",-94.59951557142857,39.04779281632653,$920,https://www.apartments.com/the-retreat-at-woodlands-apartments-kansas-city-mo/rvmhy82/,apartment
146,"8031 NW Milrey Dr, Kansas City, MO 64152",-94.66269901131129,39.240518615207144,"$865 - 1,065",https://www.apartments.com/lakeview-ii-apartments-kansas-city-mo/07xjz50/,apartment
147,"500 E 3rd St, Kansas City, MO 64106",-94.57839737824968,39.11122535,"$1,075 - 1,400",https://www.apartments.com/the-brooks-at-808-kansas-city-mo/51rjppp/,apartment
148,"11026 College Ln, Kansas City, MO 64137",-94.55183888235294,38.92557294117647,$845 - 945,https://www.apartments.com/the-retreat-at-walnut-creek-kansas-city-mo/hsrfrv2/,apartment
149,"3800 NW Barry Rd, Kansas City, MO 64154",-94.62487383018566,39.2473547,"$1,000 - 1,350",https://www.apartments.com/cold-storage-lofts-kansas-city-mo/cc62zze/,apartment
150,"10601 Jefferson St, Kansas City, MO 64114",-94.59910308338775,38.93556621590804,"$925 - 1,145",https://www.apartments.com/prairie-walk-kansas-city-mo/wkl8cvl/,apartment
151,"4623 NE Winn Rd, Kansas City, MO 64117",-94.53008868748202,39.18021965031964,$840 - 925,https://www.apartments.com/the-oaks-at-prairie-view-kansas-city-mo/e0rtrwq/,apartment
152,"1500 E 29th St, Kansas City, MO 64109",-94.56480705670737,39.07444595,$850 - 925,https://www.apartments.com/westside-flats-kansas-city-mo/sjdn4r5/,apartment
