,Address,Latitude,Longitude,Type
218,"10561 Cypress Ave, Kansas City, MO 64137",38.93224833,-94.53592891,Apartment
219,"3421 Wyandotte St, Kansas City, MO 64111",39.0647526,-94.5876227,Apartment
220,"3421 Wyandotte St, Kansas City, MO 64111",39.0647526,-94.5876227,Apartment
221,"301 W Armour Blvd, Kansas City, MO 64111",39.0636184,-94.5894562,Apartment
222,"301 W Armour Blvd, Kansas City, MO 64111",39.0636184,-94.5894562,Apartment
223,"4102-4110 Clark Ave, Kansas City, MO 64111",39.0513507,-94.5955108,Apartment
224,"4102-4110 Clark Ave, Kansas City, MO 64111",39.0513507,-94.5955108,Apartment
225,"209 Emanuel Cleaver II Blvd, Kansas City, MO 64112",39.04182585,-94.58415573,Apartment
226,"209 Emanuel Cleaver II Blvd, Kansas City, MO 64112",39.04182585,-94.58415573,Apartment
227,"8718 Wornall Rd, Kansas City, MO 64114",38.9699409,-94.5953903,Apartment
228,"8718 Wornall Rd, Kansas City, MO 64114",38.9699409,-94.5953903,Apartment
229,"1800-1816 W 41st St, Kansas City, MO 64111",39.051871,-94.587253,Apartment
230,"1800-1816 W 41st St, Kansas City, MO 64111",39.051871,-94.587253,Apartment
231,"1010 W 39th St, Kansas City, MO 64111",39.0573378,-94.59880288,Apartment
232,"1010 W 39th St, Kansas City, MO 64111",39.0573378,-94.59880288,Apartment
233,"605-607 E 42nd St, Kansas City, MO 64110",39.0509059,-94.5795835,Apartment
234,"605-607 E 42nd St, Kansas City, MO 64110",39.0509059,-94.5795835,Apartment
235,"1108 E Armour Blvd, Kansas City, MO 64109",39.06332071,-94.57149306,Apartment
236,"1108 E Armour Blvd, Kansas City, MO 64109",39.06332071,-94.57149306,Apartment
237,"3541-3549 Gillham Rd, Kansas City, MO 64111",39.0548667,-94.579488,Apartment
238,"3541-3549 Gillham Rd, Kansas City, MO 64111",39.0548667,-94.579488,Apartment
239,"310 W 45th Ter, Kansas City, MO 64111",39.04484888,-94.59022145,Apartment
240,"310 W 45th Ter, Kansas City, MO 64111",39.04484888,-94.59022145,Apartment
241,"4440 Roanoke Pky, Kansas City, MO 64111",39.04687003,-94.60110044,Apartment
242,"4440 Roanoke Pky, Kansas City, MO 64111",39.04687003,-94.60110044,Apartment
243,"2526 Harrison, Kansas City, MO 64108",39.0804503,-94.57236108,Apartment
244,"2526 Harrison, Kansas City, MO 64108",39.0804503,-94.57236108,Apartment
245,"6000 Raytown Rd, Kansas City, MO 64133",39.0336609,-94.4729908,Apartment
246,"6000 Raytown Rd, Kansas City, MO 64133",39.0336609,-94.4729908,Apartment
247,"7228 Raytown Rd, Kansas City, MO 64133",39.0336609,-94.4729908,Apartment
248,"7228 Raytown Rd, Kansas City, MO 64133",39.0336609,-94.4729908,Apartment
249,"3829-3835 Main St, Kansas City, MO 64111",39.054854,-94.5862141,Apartment
250,"3829-3835 Main St, Kansas City, MO 64111",39.054854,-94.5862141,Apartment
251,"24 E Linwood Blvd, Kansas City, MO 64111",39.06864945,-94.58418153,Apartment
252,"24 E Linwood Blvd, Kansas City, MO 64111",39.06864945,-94.58418153,Apartment
253,"1015 W 41st Pl, Kansas City, MO 64111",39.052923,-94.59893459,Apartment
254,"1015 W 41st Pl, Kansas City, MO 64111",39.052923,-94.59893459,Apartment
255,"200 W Armour Blvd, Kansas City, MO 64111",39.0641575,-94.58832817,Apartment
256,"200 W Armour Blvd, Kansas City, MO 64111",39.0641575,-94.58832817,Apartment
257,"13944 E 49th Ter, Kansas City, MO 64133",39.030819,-94.416232,Apartment
258,"13944 E 49th Ter, Kansas City, MO 64133",39.030819,-94.416232,Apartment
259,"9320 Old Santa Fe Rd, Kansas City, MO 64138",38.9555525,-94.50792161,Apartment
260,"9320 Old Santa Fe Rd, Kansas City, MO 64138",38.9555525,-94.50792161,Apartment
261,"11540 Holiday Dr, Kansas City, MO 64134",38.91403779,-94.51417856,Apartment
262,"11540 Holiday Dr, Kansas City, MO 64134",38.91403779,-94.51417856,Apartment
263,"1318 E 89th St, Kansas City, MO 64131",38.96614634,-94.57334388,Apartment
264,"1318 E 89th St, Kansas City, MO 64131",38.96614634,-94.57334388,Apartment
265,"4424 NW Hon Dr, Riverside, MO 64150",39.17520501,-94.62107401,Apartment
266,"4424 NW Hon Dr, Riverside, MO 64150",39.17520501,-94.62107401,Apartment
267,"2813 NE Kendallwood Pkwy, Gladstone, MO 64119",39.20005977,-94.5463781,Apartment
268,"2813 NE Kendallwood Pkwy, Gladstone, MO 64119",39.20005977,-94.5463781,Apartment
269,"525 Stone Arch Dr, Independence, MO 64052",39.0918566,-94.47739078,Apartment
270,"525 Stone Arch Dr, Independence, MO 64052",39.0918566,-94.47739078,Apartment
271,"805 N 6th St, Kansas City, KS 66101",37.97140895,-100.8698959,Apartment
272,"805 N 6th St, Kansas City, KS 66101",37.97140895,-100.8698959,Apartment
273,"13900 Grandboro Ln, Grandview, MO 64030",38.872812,-94.535739,Apartment
274,"13900 Grandboro Ln, Grandview, MO 64030",38.872812,-94.535739,Apartment
275,"4517 Jefferson St, Kansas City, MO 64111",39.0454293,-94.59422593,Apartment
276,"4517 Jefferson St, Kansas City, MO 64111",39.0454293,-94.59422593,Apartment
277,"3428 Charlotte, Kansas City, MO 64109",39.06452465,-94.57548455,Apartment
278,"3428 Charlotte, Kansas City, MO 64109",39.06452465,-94.57548455,Apartment
279,"905 Washington St, Kansas City, MO 64105",39.1033729,-94.58963729,Apartment
280,"905 Washington St, Kansas City, MO 64105",39.1033729,-94.58963729,Apartment
281,"4550 Warwick Blvd, Kansas City, MO 64111",39.043858,-94.58402205,Apartment
282,"4550 Warwick Blvd, Kansas City, MO 64111",39.043858,-94.58402205,Apartment
283,"612 Central St, Kansas City, MO 64105",39.10626814,-94.58616327,Apartment
284,"612 Central St, Kansas City, MO 64105",39.10626814,-94.58616327,Apartment
285,"13100 Holiday Rd, Kansas City, MO 64139",38.96528832,-94.42943033,Apartment
286,"13100 Holiday Rd, Kansas City, MO 64139",38.96528832,-94.42943033,Apartment
287,"4435 Madison Ave, Kansas City, MO 64111",39.04732815,-94.59680963,Apartment
288,"3560 Broadway Blvd, Kansas City, MO 64111",39.0626325,-94.5906728,Apartment
289,"4111 Broadway Blvd, Kansas City, MO 64111",39.053038,-94.58925705,Apartment
290,"4455 Madison Ave, Kansas City, MO 64111",39.04658845,-94.59690222,Apartment
291,"462 W 104th St, Kansas City, MO 64114",38.93997,-94.593417,Apartment
292,"4732 Belleview Ave, Kansas City, MO 64112",39.04139195,-94.59891075,Apartment
293,"3521 Walnut St, Kansas City, MO 64111",39.0630405,-94.58418203,Apartment
294,"420 E Armour Blvd, Kansas City, MO 64109",39.06387745,-94.58007881,Apartment
295,"553 Campbell St, Kansas City, MO 64106",39.10816775,-94.5725089,Apartment
296,"600 Admiral Blvd, Kansas City, MO 64106",39.1055686,-94.5757119,Apartment
297,"3736 Locust St, Kansas City, MO 64109",39.05928204,-94.58021933,Apartment
298,"3519 Wyandotte St, Kansas City, MO 64111",39.06310215,-94.58778665,Apartment
299,"1101 Walnut St, Kansas City, MO 64106",39.1008133,-94.58170185,Apartment
300,"1819 Baltimore Ave, Kansas City, MO 64108",39.0909922,-94.58446556,Apartment
301,"17 E 34th St, Kansas City, MO 64111",39.0657444,-94.585228,Apartment
302,"3612 Baltimore Ave, Kansas City, MO 64111",39.06130385,-94.58732252,Apartment
303,"408 W 8th St, Kansas City, MO 64105",39.1048391,-94.58897508,Apartment
304,"100 W 36th St, Kansas City, MO 64111",39.062112,-94.587153,Apartment
305,"905 Washington St, Kansas City, MO 64105",39.1033729,-94.58963729,Apartment
306,"4202 Roanoke Rd, Kansas City, MO 64111",39.05230772,-94.59757239,Apartment
307,"7615 Wyandotte St, Kansas City, MO 64114",38.99015528,-94.59187156,Apartment
308,"600 E 8th St, Kansas City, MO 64106",39.10457415,-94.575589,Apartment
309,"8312 E 105th St, Kansas City, MO 64134",38.93436903,-94.49280656,Apartment
310,"2130 Holly St, Kansas City, MO 64108",39.08691865,-94.59853997,Apartment
311,"600 E 8th St, Kansas City, MO 64106",39.10457415,-94.575589,Apartment
312,"4949 Wornall Rd, Kansas City, MO 64112",39.0370979,-94.59127982,Apartment
313,"1101 Walnut St, Kansas City, MO 64106",39.1008133,-94.58170185,Apartment
314,"514 Gillis St, Kansas City, MO 64106",39.1101515,-94.57103736,Apartment
315,"700 E 8th St, Kansas City, MO 64106",39.10455515,-94.57452709,Apartment
316,"4545 Main St, Kansas City, MO 64111",39.04405795,-94.58635452,Apartment
317,"6906 N Elmwood Ct, Kansas City, MO 64119",39.204773,-94.525073,Apartment
318,"200 Walnut St, Kansas City, MO 64106",39.11067795,-94.58269419,Apartment
319,"5701 NE 80th Ter, Kansas City, MO 64119",39.239959,-94.512087,Apartment
320,"319 E 28th Ave, North Kansas City, MO 64116",39.1491657,-94.57681892,Apartment
321,"2900 W 53rd St, Fairway, KS 66205",39.033406,-94.619095,Apartment
